EmployeeID,Age,Department,YearsExperience,PerformanceScore,MonthlySalary,TrainingHours,PromotionLast5Years,,,
27680,58,IT,22,1,6331,119,Yes,,,
27681,55,IT,11,2,8560,52,No,,,
27682,38,HR,10,3,6268,2,Yes,,,
27683,56,HR,24,2,11359,44,No,,,
27684,39,Marketing,5,3,10890,6,No,,,
27685,45,Operations,3,4,4770,23,No,,,
27686,51,Marketing,30,3,3617,78,Yes,,,
27687,43,Finance,18,3,7289,57,Yes,,,
27688,34,Operations,28,5,6408,15,Yes,,,
27689,47,HR,12,3,9868,35,Yes,,,
27690,55,IT,15,3,12984,39,No,,,
27691,33,IT,13,1,11654,21,Yes,,,
27692,56,Finance,22,3,8569,102,Yes,,,
27693,44,HR,33,4,9620,42,Yes,,,
27694,53,Finance,8,2,14441,103,Yes,,,
27695,27,Operations,20,2,6443,112,No,,,
27696,29,Operations,26,4,6000,97,Yes,,,
27697,41,Finance,20,3,12103,10,No,,,
27698,52,Operations,10,1,4099,3,No,,,
27699,22,Operations,5,1,9829,59,Yes,,,
27700,45,IT,6,5,6626,7,Yes,,,
27701,21,HR,1,5,8764,76,No,,,
27702,31,HR,3,3,7852,105,No,,,
27703,36,Operations,7,4,6066,56,Yes,,,
27704,43,Marketing,29,5,6934,72,No,,,
27705,35,Finance,20,3,11569,74,Yes,,,
27706,47,Finance,24,2,10719,48,No,,,
27707,36,Operations,30,2,8280,93,Yes,,,
27708,53,Finance,1,2,14795,95,Yes,,,
27709,59,Finance,24,2,4357,3,No,,,
27710,28,IT,16,2,9357,100,No,,,
27711,21,Operations,11,5,11801,2,No,,,
27712,39,Marketing,2,1,13891,73,No,,,
27713,46,Operations,6,4,6134,91,No,,,
27714,57,HR,27,5,13318,4,Yes,,,
27715,23,Operations,2,4,8155,25,Yes,,,
27716,44,HR,19,2,3881,42,No,,,
27717,42,HR,21,4,3486,76,Yes,,,
27718,21,Marketing,27,2,8501,80,Yes,,,
27719,59,Operations,29,2,12897,66,No,,,
27720,29,Marketing,33,5,12671,82,Yes,,,
27721,53,Marketing,3,1,3307,40,Yes,,,
27722,43,Finance,23,3,14630,103,No,,,
27723,54,IT,33,1,10678,97,Yes,,,
27724,55,Marketing,22,2,8284,84,No,,,
27725,30,Operations,7,3,9609,83,No,,,
27726,52,HR,32,3,7656,37,Yes,,,
27727,22,Marketing,11,2,11250,103,Yes,,,
27728,27,HR,23,1,10623,81,Yes,,,
27729,44,IT,18,2,10385,64,Yes,,,
27730,23,Operations,31,1,7509,50,Yes,,,
27731,32,IT,4,2,11457,21,Yes,,,
27732,59,Marketing,10,5,8194,91,No,,,
27733,56,Operations,19,4,8344,119,Yes,,,
27734,47,HR,18,1,9793,4,Yes,,,
27735,21,IT,25,3,7983,45,Yes,,,
27736,56,Finance,16,5,10251,1,Yes,,,
27737,52,Finance,7,3,7088,37,No,,,
27738,47,HR,18,4,9101,98,Yes,,,
27739,51,Operations,3,2,12986,14,Yes,,,
27740,53,Marketing,26,3,6844,64,Yes,,,
27741,52,IT,21,3,12340,61,Yes,,,
27742,24,IT,1,2,3779,98,Yes,,,
27743,45,HR,10,2,4599,84,No,,,
27744,59,IT,14,1,14600,80,Yes,,,
27745,49,Marketing,5,5,9381,32,Yes,,,
27746,29,Operations,7,2,6935,23,No,,,
27747,34,HR,21,4,4465,46,Yes,,,
27748,25,Finance,13,5,3316,100,No,,,
27749,37,Finance,8,2,13550,69,Yes,,,
27750,52,Operations,33,2,5004,36,Yes,,,
27751,26,Marketing,15,5,4239,104,Yes,,,
27752,25,Marketing,27,3,7530,83,Yes,,,
27753,49,IT,12,2,4458,27,Yes,,,
27754,48,Finance,17,4,9481,8,Yes,,,
27755,30,HR,31,4,4462,103,No,,,
27756,43,HR,33,5,9127,31,Yes,,,
27757,39,IT,10,5,10801,4,No,,,
27758,24,Finance,26,2,10006,83,Yes,,,
27759,52,Finance,0,2,8985,50,Yes,,,
27760,40,HR,25,2,13040,26,No,,,
27761,48,Finance,4,1,13877,100,No,,,
27762,56,Marketing,34,4,3329,21,No,,,
27763,43,Marketing,26,5,6568,16,Yes,,,
27764,23,Finance,17,3,4803,48,No,,,
27765,44,Marketing,26,2,7223,40,No,,,
27766,22,IT,34,2,10171,66,Yes,,,
27767,38,HR,17,5,3654,18,No,,,
27768,52,IT,25,4,12909,45,Yes,,,
27769,50,Operations,24,4,14392,23,Yes,,,
27770,58,Operations,5,4,12794,58,Yes,,,
27771,47,Marketing,8,5,13085,19,No,,,
27772,58,Finance,11,2,5579,57,Yes,,,
27773,58,IT,5,3,11179,76,No,,,
27774,34,HR,4,5,10213,92,Yes,,,
27775,21,Marketing,2,4,13210,93,Yes,,,
27776,21,Marketing,34,1,5212,12,No,,,
27777,28,Finance,19,2,12501,27,Yes,,,
27778,37,Marketing,18,5,8798,8,No,,,
27779,21,Marketing,34,5,7229,21,Yes,,,
27780,34,IT,34,3,10478,15,No,,,
27781,33,Marketing,23,2,12073,68,Yes,,,
27782,50,Marketing,25,2,12546,86,Yes,,,
27783,33,Marketing,23,4,4485,96,No,,,
27784,23,Finance,21,4,6649,64,Yes,,,
27785,42,IT,10,2,14587,82,No,,,
27786,55,IT,15,1,10095,32,No,,,
27787,34,IT,22,4,9002,115,Yes,,,
27788,42,Marketing,20,1,12598,99,No,,,
27789,53,IT,17,5,7646,7,No,,,
27790,32,HR,1,5,9015,109,No,,,
27791,44,Operations,34,1,8592,33,No,,,
27792,25,Finance,6,2,13074,76,Yes,,,
27793,29,Operations,17,5,9407,105,Yes,,,
27794,22,Operations,9,3,3700,50,No,,,
27795,51,HR,34,2,12882,117,No,,,
27796,49,IT,22,5,10751,69,No,,,
27797,49,HR,32,3,12213,18,Yes,,,
27798,56,Marketing,24,5,5925,35,No,,,
27799,50,Operations,20,3,6352,12,Yes,,,
27800,42,Marketing,17,4,12117,111,Yes,,,
27801,41,Marketing,12,2,3622,86,No,,,
27802,32,Operations,22,4,6519,35,No,,,
27803,27,Finance,6,2,3084,21,Yes,,,
27804,45,IT,2,2,12878,3,No,,,
27805,28,Finance,18,3,13862,60,No,,,
27806,53,Marketing,22,1,12459,61,No,,,
27807,36,Operations,9,4,7938,12,No,,,
27808,30,Marketing,8,1,8333,90,No,,,
27809,32,Operations,11,5,6771,72,Yes,,,
27810,42,HR,32,2,7022,65,Yes,,,
27811,27,Operations,34,4,6091,72,No,,,
27812,41,IT,33,1,7660,33,No,,,
27813,58,Finance,21,2,10219,32,Yes,,,
27814,42,Operations,5,1,3577,63,Yes,,,
27815,29,Operations,3,1,6538,6,No,,,
27816,40,IT,24,5,4984,64,No,,,
27817,33,HR,4,4,12064,73,No,,,
27818,44,HR,12,5,3871,9,Yes,,,
27819,50,IT,3,1,13187,34,Yes,,,
27820,38,IT,33,4,6600,78,No,,,
27821,45,Marketing,20,1,6544,23,Yes,,,
27822,40,Marketing,25,3,13050,41,No,,,
27823,31,HR,26,2,5736,117,No,,,
27824,54,Finance,17,2,4319,24,Yes,,,
27825,43,Operations,16,3,12215,100,Yes,,,
27826,46,HR,18,1,5497,103,No,,,
27827,43,Finance,33,5,6731,107,No,,,
27828,53,Finance,18,3,14392,38,No,,,
27829,45,IT,15,3,13189,78,No,,,
27830,54,HR,28,1,10095,72,Yes,,,
27831,46,Marketing,23,5,8578,57,Yes,,,
27832,59,Operations,2,4,4948,64,Yes,,,
27833,25,Finance,33,3,7527,110,Yes,,,
27834,49,Finance,27,2,14558,92,No,,,
27835,50,Operations,8,5,7579,56,No,,,
27836,47,Marketing,2,1,7492,89,Yes,,,
27837,57,HR,15,5,10539,38,No,,,
27838,45,Operations,11,4,13367,110,Yes,,,
27839,30,IT,2,3,14688,36,No,,,
27840,54,IT,26,4,13608,59,No,,,
27841,32,Finance,23,4,10119,52,Yes,,,
27842,49,HR,7,2,3998,111,Yes,,,
27843,59,HR,23,2,8341,56,No,,,
27844,39,HR,32,3,4091,79,Yes,,,
27845,39,Marketing,11,3,13333,21,Yes,,,
27846,49,Marketing,16,1,11317,72,No,,,
27847,22,IT,12,2,5219,98,Yes,,,
27848,46,Operations,33,4,7180,17,Yes,,,
27849,57,HR,18,5,11186,15,Yes,,,
27850,54,IT,12,1,7881,110,Yes,,,
27851,50,IT,4,3,4017,94,Yes,,,
27852,32,HR,28,4,6617,107,Yes,,,
27853,40,Operations,12,1,4015,83,Yes,,,
27854,53,Operations,22,3,4406,106,Yes,,,
27855,29,Operations,13,5,7915,49,Yes,,,
27856,22,Marketing,12,5,8504,5,No,,,
27857,48,Operations,17,4,6606,28,Yes,,,
27858,54,Finance,32,5,14065,104,Yes,,,
27859,41,HR,12,4,11903,80,No,,,
27860,39,HR,22,5,13690,23,Yes,,,
27861,34,IT,25,2,14714,110,No,,,
27862,37,IT,0,2,9040,76,Yes,,,
27863,25,HR,15,1,6322,18,No,,,
27864,41,Operations,16,4,10477,40,No,,,
27865,42,Operations,27,2,12439,18,No,,,
27866,40,IT,4,4,3742,18,No,,,
27867,48,Finance,14,2,10540,5,Yes,,,
27868,52,Finance,13,4,4700,52,Yes,,,
27869,39,IT,2,5,9912,106,Yes,,,
27870,48,Finance,12,3,3895,43,Yes,,,
27871,43,Finance,13,2,8553,105,No,,,
27872,53,IT,3,1,10433,0,Yes,,,
27873,38,HR,17,2,8389,12,No,,,
27874,55,IT,13,3,12648,73,No,,,
27875,57,Operations,30,5,8903,16,No,,,
27876,56,Marketing,34,3,8977,24,Yes,,,
27877,39,Finance,4,5,14736,65,Yes,,,
27878,46,IT,23,3,9913,86,Yes,,,
27879,56,IT,0,2,11331,66,Yes,,,
27880,46,IT,17,4,13612,73,No,,,
27881,27,Marketing,6,1,4710,62,Yes,,,
27882,43,Finance,33,3,14097,45,Yes,,,
27883,25,Operations,18,1,7792,46,Yes,,,
27884,43,HR,23,1,7421,94,No,,,
27885,56,Operations,29,2,13866,83,No,,,
27886,52,IT,13,4,4930,14,Yes,,,
27887,35,IT,31,4,11667,108,No,,,
27888,47,Operations,29,4,10368,85,No,,,
27889,37,HR,3,5,9457,110,No,,,
27890,40,IT,32,2,11824,86,No,,,
27891,36,Operations,27,3,7480,1,Yes,,,
27892,48,IT,33,2,4315,50,No,,,
27893,51,Operations,28,5,3247,92,No,,,
27894,36,HR,0,1,7503,30,Yes,,,
27895,34,Finance,10,2,3522,19,Yes,,,
27896,30,Marketing,6,3,10127,5,Yes,,,
27897,22,Operations,22,5,9830,44,No,,,
27898,53,Finance,12,4,12267,117,Yes,,,
27899,42,HR,3,2,8528,97,Yes,,,
27900,22,Finance,6,3,6866,85,No,,,
27901,27,Operations,13,3,7099,40,Yes,,,
27902,50,Marketing,25,3,12495,61,No,,,
27903,58,Finance,31,3,7025,7,Yes,,,
27904,59,Finance,6,3,7185,80,Yes,,,
27905,39,Finance,31,3,8995,57,Yes,,,
27906,58,Marketing,14,2,11991,95,Yes,,,
27907,37,HR,18,1,7081,99,No,,,
27908,57,HR,14,3,5352,85,No,,,
27909,30,Operations,18,5,6358,9,Yes,,,
27910,35,Finance,34,4,13913,17,Yes,,,
27911,25,IT,14,4,3452,114,No,,,
27912,58,Finance,29,3,7499,110,No,,,
27913,55,Marketing,29,3,6549,62,No,,,
27914,24,HR,32,1,11310,94,No,,,
27915,55,HR,8,3,5996,67,Yes,,,
27916,21,HR,34,2,11859,61,Yes,,,
27917,37,IT,5,4,7017,65,No,,,
27918,41,Finance,13,3,9909,10,No,,,
27919,42,Operations,9,4,14687,64,Yes,,,
27920,25,HR,34,3,5829,10,Yes,,,
27921,56,HR,23,5,8891,74,Yes,,,
27922,58,Finance,1,3,7374,96,No,,,
27923,29,Operations,21,5,6020,84,Yes,,,
27924,40,Operations,20,3,10008,105,No,,,
27925,34,HR,8,1,3045,82,Yes,,,
27926,40,Finance,22,3,13257,69,Yes,,,
27927,46,IT,22,2,11065,34,Yes,,,
27928,24,HR,19,5,6524,15,No,,,
27929,59,HR,33,1,11440,31,Yes,,,
27930,40,Marketing,14,1,9193,49,Yes,,,
27931,31,IT,26,3,5916,14,Yes,,,
27932,27,Operations,5,2,11187,17,Yes,,,
27933,51,Marketing,25,2,4000,98,No,,,
27934,28,Finance,11,2,6612,117,Yes,,,
27935,43,HR,11,1,11533,104,Yes,,,
27936,35,IT,8,5,12111,94,No,,,
27937,21,Operations,1,5,4809,69,Yes,,,
27938,30,Marketing,13,1,3221,60,No,,,
27939,44,Marketing,25,4,11606,22,Yes,,,
27940,35,Operations,17,1,5263,110,No,,,
27941,41,HR,3,3,7061,32,No,,,
27942,42,IT,11,1,9191,19,Yes,,,
27943,44,IT,26,1,12462,27,No,,,
27944,30,Marketing,34,5,13307,107,Yes,,,
27945,43,Operations,21,3,12468,10,No,,,
27946,36,Operations,28,5,8352,27,Yes,,,
27947,25,Operations,15,3,9566,100,Yes,,,
27948,53,Finance,29,2,14530,20,Yes,,,
27949,56,HR,13,4,12671,96,No,,,
27950,45,Finance,21,1,4134,8,Yes,,,
27951,46,HR,32,4,3740,41,No,,,
27952,22,Marketing,16,5,3362,55,Yes,,,
27953,54,IT,12,2,14081,29,No,,,
27954,51,HR,5,1,13251,63,No,,,
27955,39,HR,0,5,3058,30,Yes,,,
27956,57,Finance,31,3,11503,52,No,,,
27957,38,Finance,10,1,3442,51,No,,,
27958,23,HR,18,1,11175,50,No,,,
27959,27,Marketing,21,5,4807,72,Yes,,,
27960,43,IT,8,5,3177,114,Yes,,,
27961,57,Marketing,2,1,9411,50,Yes,,,
27962,21,Finance,1,2,13892,86,Yes,,,
27963,27,HR,28,1,5112,10,No,,,
27964,42,HR,32,4,6053,0,No,,,
27965,23,IT,17,1,8281,6,Yes,,,
27966,39,Finance,13,3,14842,61,Yes,,,
27967,50,HR,12,4,5790,53,No,,,
27968,29,Finance,29,4,3598,73,No,,,
27969,55,Operations,0,2,14486,83,No,,,
27970,55,Operations,24,3,10380,112,No,,,
27971,33,Operations,4,1,7755,48,No,,,
27972,46,Finance,31,1,6088,50,Yes,,,
27973,48,Operations,20,1,3713,51,No,,,
27974,45,Marketing,11,1,10346,42,Yes,,,
27975,59,IT,7,1,9474,39,No,,,
27976,23,IT,8,1,6125,85,No,,,
27977,31,Operations,1,2,5382,86,Yes,,,
27978,50,Marketing,32,4,5437,52,No,,,
27979,53,Operations,27,5,14472,13,No,,,
27980,54,Operations,27,5,13996,25,Yes,,,
27981,23,Operations,24,3,11609,115,No,,,
27982,25,Marketing,26,1,9655,76,No,,,
27983,51,Finance,14,2,4296,19,Yes,,,
27984,24,Marketing,12,3,14891,73,Yes,,,
27985,28,HR,5,2,4432,31,No,,,
27986,37,Finance,32,1,5077,33,Yes,,,
27987,42,HR,20,5,11883,63,No,,,
27988,58,Operations,21,5,9137,110,No,,,
27989,44,Operations,11,1,14915,97,Yes,,,
27990,51,IT,23,4,9454,93,No,,,
27991,45,IT,31,3,8620,31,No,,,
27992,58,Operations,28,5,8002,41,Yes,,,
27993,52,HR,27,5,12242,105,Yes,,,
27994,46,Operations,24,4,14841,65,Yes,,,
27995,56,IT,24,3,8775,45,No,,,
27996,47,Marketing,2,5,7595,111,Yes,,,
27997,43,Finance,28,3,11854,98,No,,,
27998,40,Marketing,24,2,7875,53,No,,,
27999,47,Operations,11,5,6938,26,No,,,
28000,37,Marketing,23,3,11274,71,Yes,,,
28001,34,Marketing,17,5,13417,103,No,,,
28002,23,Marketing,3,3,6030,70,Yes,,,
28003,47,Marketing,0,5,14054,42,No,,,
28004,34,Finance,14,4,4591,59,Yes,,,
28005,48,IT,10,4,12676,100,Yes,,,
28006,45,Operations,22,3,13699,20,No,,,
28007,31,Finance,26,5,8374,58,No,,,
28008,32,Operations,7,2,3046,82,Yes,,,
28009,53,Marketing,23,4,14014,100,Yes,,,
28010,40,Finance,23,5,10742,9,Yes,,,
28011,54,IT,26,2,11702,72,No,,,
28012,43,HR,1,2,14401,24,No,,,
28013,39,Operations,20,5,10213,78,No,,,
28014,56,IT,28,2,8209,16,No,,,
28015,21,Finance,29,1,11944,90,No,,,
28016,30,Operations,22,4,10165,57,No,,,
28017,21,IT,15,5,4118,118,No,,,
28018,25,HR,30,3,10183,50,Yes,,,
28019,42,Operations,4,1,9470,7,Yes,,,
28020,22,Operations,32,2,9248,35,No,,,
28021,29,Finance,13,4,7415,55,No,,,
28022,27,Finance,28,2,3570,51,Yes,,,
28023,41,HR,34,1,14285,26,Yes,,,
28024,27,Finance,14,3,4270,116,No,,,
28025,29,HR,12,4,11382,16,Yes,,,
28026,29,Operations,5,1,12879,61,Yes,,,
28027,32,Marketing,24,3,14046,25,Yes,,,
28028,56,Marketing,33,1,14070,71,No,,,
28029,29,Marketing,28,5,13108,19,No,,,
28030,30,Finance,18,4,14464,2,No,,,
28031,30,Marketing,17,2,8401,33,Yes,,,
28032,37,Operations,22,1,4268,35,No,,,
28033,58,Marketing,1,5,6312,19,Yes,,,
28034,24,IT,33,4,6077,54,Yes,,,
28035,36,HR,16,2,8220,37,Yes,,,
28036,56,Operations,22,1,9821,114,Yes,,,
28037,47,IT,10,5,4322,72,No,,,
28038,26,Operations,7,3,12180,13,Yes,,,
28039,29,Marketing,29,4,12693,34,Yes,,,
28040,52,IT,13,3,3299,69,Yes,,,
28041,58,HR,14,2,3463,27,Yes,,,
28042,50,Operations,5,4,6312,24,No,,,
28043,34,Operations,22,5,8755,1,No,,,
28044,49,Operations,30,5,3433,83,Yes,,,
28045,48,Marketing,34,2,8049,74,Yes,,,
28046,42,Finance,7,2,14963,61,Yes,,,
28047,51,Finance,18,4,10164,100,Yes,,,
28048,37,Finance,27,3,4381,93,Yes,,,
28049,37,HR,2,4,4186,30,No,,,
28050,35,Operations,19,2,13181,108,Yes,,,
28051,52,Finance,19,1,12787,9,Yes,,,
28052,48,Finance,29,4,4248,116,Yes,,,
28053,31,Operations,3,3,8889,4,Yes,,,
28054,59,Operations,9,5,3991,110,No,,,
28055,37,HR,26,2,3141,103,Yes,,,
28056,32,HR,16,5,6476,107,No,,,
28057,59,HR,23,3,8420,2,No,,,
28058,29,Finance,23,5,3399,80,Yes,,,
28059,45,Operations,21,4,12044,66,No,,,
28060,46,Finance,14,5,9751,110,Yes,,,
28061,24,Finance,8,2,9505,85,No,,,
28062,39,HR,15,4,5373,84,No,,,
28063,33,Marketing,9,1,8831,103,Yes,,,
28064,49,Operations,0,2,8814,72,No,,,
28065,29,Operations,7,5,11138,13,No,,,
28066,27,Operations,6,5,5071,15,Yes,,,
28067,27,Finance,11,1,14828,19,Yes,,,
28068,41,Finance,4,4,12205,61,Yes,,,
28069,29,IT,30,4,12044,34,No,,,
28070,47,Finance,28,2,10866,4,Yes,,,
28071,41,Finance,34,2,13161,102,Yes,,,
28072,25,Operations,26,2,13394,43,No,,,
28073,25,HR,25,3,12004,91,No,,,
28074,28,Marketing,15,1,7753,10,No,,,
28075,35,IT,23,2,12415,99,No,,,
28076,33,Operations,30,3,4894,23,No,,,
28077,53,HR,18,3,5579,103,No,,,
28078,52,HR,4,5,5597,54,No,,,
28079,56,Finance,8,3,6636,54,Yes,,,
28080,43,Finance,26,3,12899,34,Yes,,,
28081,54,Marketing,5,1,3304,75,Yes,,,
28082,38,Marketing,31,5,4615,31,No,,,
28083,32,Operations,21,4,3657,112,No,,,
28084,43,IT,33,1,3430,10,Yes,,,
28085,22,HR,32,4,9232,47,Yes,,,
28086,47,IT,29,1,8317,84,Yes,,,
28087,51,Operations,23,4,6445,111,Yes,,,
28088,42,Finance,12,4,6543,24,No,,,
28089,25,Marketing,27,5,7704,115,Yes,,,
28090,37,Finance,24,3,14362,115,Yes,,,
28091,27,Operations,3,4,3718,90,No,,,
28092,38,Marketing,18,4,8756,9,No,,,
28093,22,Finance,7,3,9413,110,Yes,,,
28094,51,Marketing,26,5,6066,27,Yes,,,
28095,48,HR,12,4,8545,62,Yes,,,
28096,23,Marketing,15,5,10499,81,Yes,,,
28097,29,Marketing,5,1,8055,109,No,,,
28098,53,IT,33,1,13225,94,No,,,
28099,48,Finance,32,4,8834,91,Yes,,,
28100,48,IT,6,2,13515,19,No,,,
28101,38,Operations,11,1,9066,61,No,,,
28102,35,HR,18,5,13513,81,No,,,
28103,31,Operations,31,2,10417,27,Yes,,,
28104,45,HR,23,4,7214,25,Yes,,,
28105,25,HR,26,1,7998,39,No,,,
28106,47,IT,3,3,4562,58,No,,,
28107,32,Marketing,17,4,12449,82,Yes,,,
28108,30,IT,26,1,11434,3,Yes,,,
28109,29,Finance,15,4,11574,97,No,,,
28110,22,Finance,20,4,10369,71,No,,,
28111,29,Operations,10,4,4854,87,No,,,
28112,36,HR,19,2,5149,64,Yes,,,
28113,21,Operations,18,1,5767,34,Yes,,,
28114,41,IT,1,3,12824,113,Yes,,,
28115,57,HR,2,2,7274,53,Yes,,,
28116,59,Marketing,18,3,6566,38,No,,,
28117,21,Operations,24,3,7732,69,Yes,,,
28118,34,Marketing,13,4,4902,90,No,,,
28119,52,IT,14,5,8104,64,No,,,
28120,44,IT,33,1,9577,41,No,,,
28121,59,Finance,9,1,9812,28,No,,,
28122,57,Marketing,19,3,7940,59,No,,,
28123,53,Operations,4,5,12778,116,Yes,,,
28124,50,Finance,12,5,7788,108,Yes,,,
28125,46,Marketing,15,1,14600,40,Yes,,,
28126,34,IT,2,4,9163,113,No,,,
28127,32,Operations,8,4,14911,46,No,,,
28128,23,Marketing,18,2,7387,27,Yes,,,
28129,27,HR,3,1,9512,63,Yes,,,
28130,41,Marketing,28,4,12751,96,No,,,
28131,47,HR,32,2,3834,38,Yes,,,
28132,30,IT,30,1,5427,9,Yes,,,
28133,30,IT,1,3,13545,113,Yes,,,
28134,56,HR,28,5,8299,75,Yes,,,
28135,37,HR,34,4,14294,115,No,,,
28136,54,IT,10,3,10672,39,No,,,
28137,38,IT,3,2,6099,118,No,,,
28138,46,Finance,14,4,14012,42,No,,,
28139,22,Finance,13,4,13856,70,No,,,
28140,29,IT,14,1,14818,49,Yes,,,
28141,25,IT,16,5,13123,31,No,,,
28142,46,HR,29,2,14753,116,No,,,
28143,35,Operations,21,2,6084,98,No,,,
28144,45,Operations,0,1,6564,82,No,,,
28145,46,IT,28,4,4524,49,No,,,
28146,48,IT,2,4,7534,83,Yes,,,
28147,43,Finance,22,5,14755,8,No,,,
28148,41,Marketing,12,2,5713,90,No,,,
28149,42,HR,29,1,3630,79,No,,,
28150,39,Marketing,20,4,7492,26,No,,,
28151,30,Operations,6,3,4466,15,Yes,,,
28152,56,Finance,22,3,7131,61,Yes,,,
28153,51,Finance,26,3,11401,88,No,,,
28154,51,Finance,25,3,11182,102,No,,,
28155,55,Operations,19,4,9056,79,No,,,
28156,31,Operations,3,5,3621,101,Yes,,,
28157,37,HR,16,2,12925,11,No,,,
28158,53,Finance,20,2,4126,85,Yes,,,
28159,42,Finance,21,4,5136,1,Yes,,,
28160,46,Marketing,17,1,13079,57,Yes,,,
28161,56,Marketing,28,5,9050,0,No,,,
28162,22,Finance,29,1,9020,86,Yes,,,
28163,52,IT,28,1,4131,28,No,,,
28164,23,Finance,30,5,14632,75,No,,,
28165,58,IT,4,4,10110,94,No,,,
28166,43,Marketing,26,1,6369,6,Yes,,,
28167,21,HR,21,5,12631,90,No,,,
28168,25,Operations,16,4,12210,72,Yes,,,
28169,57,HR,19,4,14989,92,Yes,,,
28170,21,HR,5,5,13107,100,Yes,,,
28171,38,IT,17,4,12390,68,No,,,
28172,25,Marketing,12,5,11508,25,No,,,
28173,38,Finance,30,3,13356,102,No,,,
28174,55,Finance,26,5,12916,36,No,,,
28175,52,Operations,25,3,4012,99,Yes,,,
28176,46,Finance,24,4,7363,56,No,,,
28177,53,IT,4,1,8886,97,No,,,
28178,44,Marketing,32,1,11620,22,No,,,
28179,47,Operations,14,3,10432,110,No,,,
28180,39,HR,32,1,14433,45,No,,,
28181,38,Operations,11,3,9494,61,No,,,
28182,35,Finance,20,3,4792,69,No,,,
28183,47,Marketing,1,2,4437,23,No,,,
28184,31,Finance,22,4,4900,92,No,,,
28185,44,HR,26,4,4632,44,Yes,,,
28186,23,Finance,12,1,6775,36,No,,,
28187,59,Finance,29,2,11366,105,Yes,,,
28188,27,Operations,7,1,10427,118,No,,,
28189,32,Finance,19,2,13502,75,No,,,
28190,53,Marketing,17,5,12435,87,No,,,
28191,42,Finance,4,5,11206,45,No,,,
28192,55,Operations,16,3,6377,74,No,,,
28193,34,Marketing,22,1,4838,58,Yes,,,
28194,46,Finance,16,2,13966,62,Yes,,,
28195,39,Operations,23,4,14207,14,No,,,
28196,41,HR,17,4,5087,82,Yes,,,
28197,51,Finance,24,3,10799,97,Yes,,,
28198,25,Finance,10,3,8588,52,Yes,,,
28199,55,Marketing,24,2,14740,90,No,,,
28200,37,Marketing,21,4,4944,41,No,,,
28201,52,Marketing,12,5,5226,2,Yes,,,
28202,24,HR,6,5,4715,14,No,,,
28203,30,Finance,3,1,4277,40,No,,,
28204,50,Operations,18,1,7236,0,Yes,,,
28205,57,Finance,31,2,3419,6,No,,,
28206,29,IT,29,4,3998,82,No,,,
28207,46,Marketing,18,4,12737,90,Yes,,,
28208,42,Finance,10,2,9881,1,Yes,,,
28209,41,Marketing,34,3,13653,55,No,,,
28210,43,HR,32,4,9366,110,No,,,
28211,32,Finance,31,3,4779,109,Yes,,,
28212,51,Marketing,23,3,6851,114,Yes,,,
28213,37,HR,16,1,6811,50,Yes,,,
28214,41,Operations,21,4,5979,107,Yes,,,
28215,53,IT,21,3,4647,55,No,,,
28216,35,Operations,20,4,5458,113,Yes,,,
28217,52,Marketing,34,1,3473,68,Yes,,,
28218,55,IT,26,5,13948,97,No,,,
28219,35,IT,22,3,12195,96,No,,,
28220,49,IT,26,5,8746,107,No,,,
28221,31,HR,11,5,7324,57,Yes,,,
28222,49,IT,20,1,3498,36,Yes,,,
28223,42,IT,0,3,3426,16,Yes,,,
28224,46,HR,24,5,10875,117,Yes,,,
28225,38,HR,9,2,13936,47,No,,,
28226,45,Finance,28,5,14467,50,No,,,
28227,41,Operations,24,4,10547,3,Yes,,,
28228,44,Finance,31,1,13729,9,No,,,
28229,48,HR,2,2,9240,93,No,,,
28230,23,IT,12,3,6777,0,Yes,,,
28231,33,Operations,19,2,10473,62,Yes,,,
28232,58,Operations,16,2,11629,36,No,,,
28233,26,Operations,31,2,14243,83,No,,,
28234,31,HR,4,3,10827,11,No,,,
28235,43,HR,9,5,14523,12,No,,,
28236,29,HR,3,1,4898,34,No,,,
28237,37,HR,10,2,4300,113,Yes,,,
28238,29,IT,11,1,11077,42,No,,,
28239,39,Operations,3,2,8868,3,No,,,
28240,55,Finance,7,2,5939,115,No,,,
28241,52,Marketing,24,4,5346,108,Yes,,,
28242,48,Marketing,27,1,13708,37,Yes,,,
28243,48,Operations,30,4,9863,1,No,,,
28244,35,HR,22,1,8396,67,No,,,
28245,39,Operations,21,1,9880,39,Yes,,,
28246,53,Marketing,2,1,12212,78,Yes,,,
28247,43,IT,11,3,14326,42,Yes,,,
28248,48,Operations,34,3,3937,37,No,,,
28249,24,Finance,29,3,14590,115,Yes,,,
28250,51,Finance,22,1,7217,11,No,,,
28251,55,Marketing,6,2,4272,37,No,,,
28252,25,Marketing,25,1,3211,36,No,,,
28253,53,HR,5,5,9766,91,No,,,
28254,52,Operations,24,2,9189,14,Yes,,,
28255,35,Operations,5,5,14312,118,No,,,
28256,57,Operations,22,1,4725,63,Yes,,,
28257,54,Operations,23,3,6547,64,No,,,
28258,29,Operations,29,2,3613,91,Yes,,,
28259,55,IT,14,4,12885,16,Yes,,,
28260,44,HR,17,2,11191,17,No,,,
28261,38,Marketing,23,5,6538,93,No,,,
28262,37,Marketing,8,3,7165,97,Yes,,,
28263,21,Finance,0,2,13886,19,No,,,
28264,31,Operations,15,3,10610,34,No,,,
